0	0.9	20	25	0.975358	0.00309327	0.00309327
0	0.9	25	30	0.98281	0.00159385	0.00159385
0	0.9	30	40	0.98664	0.000624372	0.000624372
0	0.9	40	50	0.987303	0.000504188	0.000504188
0	0.9	50	60	0.982278	0.00120782	0.00120782
0	0.9	60	1000	0.985663	0.0022567	0.0022567
0.9	1.2	20	25	0.977758	0.00459247	0.00459247
0.9	1.2	25	30	0.976121	0.00275717	0.00275717
0.9	1.2	30	40	0.980376	0.00108089	0.00108089
0.9	1.2	40	50	0.980181	0.000821761	0.000821761
0.9	1.2	50	60	0.976583	0.00196805	0.00196805
0.9	1.2	60	1000	0.984312	0.00375722	0.00375722
1.2	2.1	20	25	0.992952	0.00220503	0.00220503
1.2	2.1	25	30	0.989996	0.00131709	0.00131709
1.2	2.1	30	40	0.992301	0.000547125	0.000547125
1.2	2.1	40	50	0.991254	0.000403317	0.000403317
1.2	2.1	50	60	0.989062	0.00109137	0.00109137
1.2	2.1	60	1000	0.990666	0.00246763	0.00246763
2.1	2.4	20	25	0.978453	0.00439179	0.00439179
2.1	2.4	25	30	0.976408	0.00287135	0.00287135
2.1	2.4	30	40	0.978308	0.00146466	0.00146466
2.1	2.4	40	50	0.977546	0.0013583	0.0013583
2.1	2.4	50	60	0.972767	0.0034094	0.0034094
2.1	2.4	60	1000	0.964052	0.00839819	0.00839819
